id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;chleb pełnoziarnisty,0.160,banany;mleko,0.165,0.026,0.162,0.985
647,jabłka;chleb pełnoziarnisty;banany,0.063,jogurt naturalny,0.434,0.025,0.397,0.914
648,jabłka;jogurt naturalny;banany,0.058,chleb pełnoziarnisty,0.414,0.025,0.431,1.041
649,chleb pełnoziarnisty;jogurt naturalny;banany,0.059,jabłka,0.407,0.025,0.424,1.041
650,jabłka;jajka,0.167,chleb pełnoziarnisty;banany,0.158,0.024,0.144,0.910
651,jabłka;chleb pełnoziarnisty,0.162,jajka;banany,0.157,0.024,0.148,0.944
652,jabłka;banany,0.160,jajka;chleb pełnoziarnisty,0.180,0.024,0.150,0.833
653,jajka;chleb pełnoziarnisty,0.180,jabłka;banany,0.160,0.024,0.133,0.833
654,jajka;banany,0.157,jabłka;chleb pełnoziarnisty,0.162,0.024,0.153,0.944
655,chleb pełnoziarnisty;banany,0.158,jabłka;jajka,0.167,0.024,0.152,0.910
656,jabłka;jajka;chleb pełnoziarnisty,0.059,banany,0.389,0.024,0.407,1.046
657,jabłka;jajka;banany,0.056,chleb pełnoziarnisty,0.414,0.024,0.429,1.035
658,jabłka;chleb pełnoziarnisty;banany,0.063,jajka,0.432,0.024,0.381,0.882
659,jajka;chleb pełnoziarnisty;banany,0.067,jabłka,0.407,0.024,0.358,0.880
660,ziemniaki;jogurt naturalny,0.165,banany;mleko,0.165,0.027,0.164,0.992
661,ziemniaki;mleko,0.178,jogurt naturalny;banany,0.156,0.027,0.152,0.972
662,ziemniaki;banany,0.146,jogurt naturalny;mleko,0.184,0.027,0.185,1.005
663,jogurt naturalny;mleko,0.184,ziemniaki;banany,0.146,0.027,0.147,1.005
664,jogurt naturalny;banany,0.156,ziemniaki;mleko,0.178,0.027,0.173,0.972
665,banany;mleko,0.165,ziemniaki;jogurt naturalny,0.165,0.027,0.164,0.992
666,ziemniaki;jogurt naturalny;mleko,0.075,banany,0.389,0.027,0.360,0.925
667,ziemniaki;jogurt naturalny;banany,0.055,mleko,0.434,0.027,0.491,1.131
668,ziemniaki;mleko;banany,0.061,jogurt naturalny,0.434,0.027,0.443,1.020
669,jogurt naturalny;mleko;banany,0.063,ziemniaki,0.401,0.027,0.429,1.069
670,ser żółty;ryż brązowy,0.171,chleb pełnoziarnisty;banany,0.158,0.026,0.152,0.962
671,ser żółty;chleb pełnoziarnisty,0.160,ryż brązowy;banany,0.149,0.026,0.162,1.091
672,ser żółty;banany,0.163,ryż brązowy;chleb pełnoziarnisty,0.176,0.026,0.160,0.906
673,ryż brązowy;chleb pełnoziarnisty,0.176,ser żółty;banany,0.163,0.026,0.148,0.906
674,ryż brązowy;banany,0.149,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.174,1.091
675,chleb pełnoziarnisty;banany,0.158,ser żółty;ryż brązowy,0.171,0.026,0.165,0.962
676,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,banany,0.389,0.026,0.366,0.941
677,ser żółty;ryż brązowy;banany,0.061,chleb pełnoziarnisty,0.414,0.026,0.426,1.030
678,ser żółty;chleb pełnoziarnisty;banany,0.061,ryż brązowy,0.412,0.026,0.426,1.035
679,ryż brązowy;chleb pełnoziarnisty;banany,0.061,ser żółty,0.418,0.026,0.426,1.020
680,jabłka;ser żółty,0.163,jajka;banany,0.157,0.022,0.135,0.860
681,ser żółty;jajka,0.176,jabłka;banany,0.160,0.022,0.125,0.781
682,ser żółty;banany,0.163,jabłka;jajka,0.167,0.022,0.135,0.808
683,jabłka;jajka,0.167,ser żółty;banany,0.163,0.022,0.132,0.808
684,jabłka;banany,0.160,ser żółty;jajka,0.176,0.022,0.137,0.781
685,jajka;banany,0.157,jabłka;ser żółty,0.163,0.022,0.140,0.860
686,jabłka;ser żółty;jajka,0.066,banany,0.389,0.022,0.333,0.857
687,jabłka;ser żółty;banany,0.067,jajka,0.432,0.022,0.328,0.760
688,ser żółty;jajka;banany,0.068,jabłka,0.407,0.022,0.324,0.795
689,jabłka;jajka;banany,0.056,ser żółty,0.418,0.022,0.393,0.940
690,jabłka;ryż brązowy,0.175,chleb pełnoziarnisty;mleko,0.177,0.035,0.200,1.130
691,jabłka;chleb pełnoziarnisty,0.162,ryż brązowy;mleko,0.181,0.035,0.216,1.194
692,jabłka;mleko,0.170,ryż brązowy;chleb pełnoziarnisty,0.176,0.035,0.206,1.170
693,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka;mleko,0.170,0.035,0.199,1.170
694,ryż brązowy;mleko,0.181,jabłka;chleb pełnoziarnisty,0.162,0.035,0.193,1.194
695,chleb pełnoziarnisty;mleko,0.177,jabłka;ryż brązowy,0.175,0.035,0.198,1.130
696,jabłka;ryż brązowy;chleb pełnoziarnisty,0.079,mleko,0.434,0.035,0.443,1.021
697,jabłka;ryż brązowy;mleko,0.070,chleb pełnoziarnisty,0.414,0.035,0.500,1.208
698,jabłka;chleb pełnoziarnisty;mleko,0.075,ryż brązowy,0.412,0.035,0.467,1.133
699,ryż brązowy;chleb pełnoziarnisty;mleko,0.078,jabłka,0.407,0.035,0.449,1.103
700,jabłka;ser żółty,0.163,ryż brązowy;mleko,0.181,0.029,0.178,0.983
701,ser żółty;ryż brązowy,0.171,jabłka;mleko,0.170,0.029,0.170,0.998
702,ser żółty;mleko,0.194,jabłka;ryż brązowy,0.175,0.029,0.149,0.854
703,jabłka;ryż brązowy,0.175,ser żółty;mleko,0.194,0.029,0.166,0.854
704,jabłka;mleko,0.170,ser żółty;ryż brązowy,0.171,0.029,0.171,0.998
705,ryż brązowy;mleko,0.181,jabłka;ser żółty,0.163,0.029,0.160,0.983
706,jabłka;ser żółty;ryż brązowy,0.068,mleko,0.434,0.029,0.426,0.983
707,jabłka;ser żółty;mleko,0.078,ryż brązowy,0.412,0.029,0.372,0.902
708,ser żółty;ryż brązowy;mleko,0.076,jabłka,0.407,0.029,0.382,0.938
709,jabłka;ryż brązowy;mleko,0.070,ser żółty,0.418,0.029,0.414,0.991
710,ziemniaki;ser żółty,0.159,jajka;ogórki,0.155,0.025,0.157,1.014
711,ziemniaki;jajka,0.177,ser żółty;ogórki,0.172,0.025,0.141,0.821
712,ziemniaki;ogórki,0.153,ser żółty;jajka,0.176,0.025,0.163,0.928
713,ser żółty;jajka,0.176,ziemniaki;ogórki,0.153,0.025,0.142,0.928
714,ser żółty;ogórki,0.172,ziemniaki;jajka,0.177,0.025,0.145,0.821
715,jajka;ogórki,0.155,ziemniaki;ser żółty,0.159,0.025,0.161,1.014
716,ziemniaki;ser żółty;jajka,0.064,ogórki,0.396,0.025,0.391,0.986
717,ziemniaki;ser żółty;ogórki,0.067,jajka,0.432,0.025,0.373,0.864
718,ziemniaki;jajka;ogórki,0.062,ser żółty,0.418,0.025,0.403,0.965
719,ser żółty;jajka;ogórki,0.064,ziemniaki,0.401,0.025,0.391,0.974
720,ser żółty;ryż brązowy,0.171,chleb pełnoziarnisty;jogurt naturalny,0.169,0.026,0.152,0.900
721,ser żółty;chleb pełnoziarnisty,0.160,ryż brązowy;jogurt naturalny,0.172,0.026,0.162,0.945
722,ser żółty;jogurt naturalny,0.175,ryż brązowy;chleb pełnoziarnisty,0.176,0.026,0.149,0.844
723,ryż brązowy;chleb pełnoziarnisty,0.176,ser żółty;jogurt naturalny,0.175,0.026,0.148,0.844
724,ryż brązowy;jogurt naturalny,0.172,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.151,0.945
725,chleb pełnoziarnisty;jogurt naturalny,0.169,ser żółty;ryż brązowy,0.171,0.026,0.154,0.900
726,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,jogurt naturalny,0.434,0.026,0.366,0.844
727,ser żółty;ryż brązowy;jogurt naturalny,0.069,chleb pełnoziarnisty,0.414,0.026,0.377,0.910
728,ser żółty;chleb pełnoziarnisty;jogurt naturalny,0.061,ryż brązowy,0.412,0.026,0.426,1.035
729,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny,0.071,ser żółty,0.418,0.026,0.366,0.876
730,jajka;ryż brązowy,0.171,ogórki;mleko,0.162,0.028,0.164,1.011
731,jajka;ogórki,0.155,ryż brązowy;mleko,0.181,0.028,0.181,0.998
732,jajka;mleko,0.171,ryż brązowy;ogórki,0.169,0.028,0.164,0.969
733,ryż brązowy;ogórki,0.169,jajka;mleko,0.171,0.028,0.166,0.969
734,ryż brązowy;mleko,0.181,jajka;ogórki,0.155,0.028,0.155,0.998
735,ogórki;mleko,0.162,jajka;ryż brązowy,0.171,0.028,0.173,1.011
736,jajka;ryż brązowy;ogórki,0.065,mleko,0.434,0.028,0.431,0.993
737,jajka;ryż brązowy;mleko,0.072,ogórki,0.396,0.028,0.389,0.982
738,jajka;ogórki;mleko,0.054,ryż brązowy,0.412,0.028,0.519,1.259
739,ryż brązowy;ogórki;mleko,0.074,jajka,0.432,0.028,0.378,0.876
740,jajka;chleb pełnoziarnisty,0.180,ogórki;mleko,0.162,0.023,0.128,0.789
741,jajka;ogórki,0.155,chleb pełnoziarnisty;mleko,0.177,0.023,0.148,0.838
742,jajka;mleko,0.171,chleb pełnoziarnisty;ogórki,0.163,0.023,0.135,0.825
743,chleb pełnoziarnisty;ogórki,0.163,jajka;mleko,0.171,0.023,0.141,0.825
744,chleb pełnoziarnisty;mleko,0.177,jajka;ogórki,0.155,0.023,0.130,0.838
745,ogórki;mleko,0.162,jajka;chleb pełnoziarnisty,0.180,0.023,0.142,0.789
746,jajka;chleb pełnoziarnisty;ogórki,0.066,mleko,0.434,0.023,0.348,0.803
747,jajka;chleb pełnoziarnisty;mleko,0.071,ogórki,0.396,0.023,0.324,0.818
748,jajka;ogórki;mleko,0.054,chleb pełnoziarnisty,0.414,0.023,0.426,1.029
749,chleb pełnoziarnisty;ogórki;mleko,0.064,jajka,0.432,0.023,0.359,0.832
750,ziemniaki;jabłka,0.160,jajka;ryż brązowy,0.171,0.023,0.144,0.841
751,ziemniaki;jajka,0.177,jabłka;ryż brązowy,0.175,0.023,0.130,0.743
752,ziemniaki;ryż brązowy,0.156,jabłka;jajka,0.167,0.023,0.147,0.883
753,jabłka;jajka,0.167,ziemniaki;ryż brązowy,0.156,0.023,0.138,0.883
754,jabłka;ryż brązowy,0.175,ziemniaki;jajka,0.177,0.023,0.131,0.743
755,jajka;ryż brązowy,0.171,ziemniaki;jabłka,0.160,0.023,0.135,0.841
756,ziemniaki;jabłka;jajka,0.065,ryż brązowy,0.412,0.023,0.354,0.859
757,ziemniaki;jabłka;ryż brązowy,0.062,jajka,0.432,0.023,0.371,0.859
758,ziemniaki;jajka;ryż brązowy,0.071,jabłka,0.407,0.023,0.324,0.796
759,jabłka;jajka;ryż brązowy,0.068,ziemniaki,0.401,0.023,0.338,0.843
760,ser żółty;jajka,0.176,ryż brązowy;mleko,0.181,0.031,0.176,0.973
761,ser żółty;ryż brązowy,0.171,jajka;mleko,0.171,0.031,0.181,1.060
762,ser żółty;mleko,0.194,jajka;ryż brązowy,0.171,0.031,0.160,0.934
763,jajka;ryż brązowy,0.171,ser żółty;mleko,0.194,0.031,0.181,0.934
764,jajka;mleko,0.171,ser żółty;ryż brązowy,0.171,0.031,0.181,1.060
765,ryż brązowy;mleko,0.181,ser żółty;jajka,0.176,0.031,0.171,0.973
766,ser żółty;jajka;ryż brązowy,0.076,mleko,0.434,0.031,0.408,0.940
767,ser żółty;jajka;mleko,0.070,ryż brązowy,0.412,0.031,0.443,1.075
768,ser żółty;ryż brązowy;mleko,0.076,jajka,0.432,0.031,0.408,0.944
769,jajka;ryż brązowy;mleko,0.072,ser żółty,0.418,0.031,0.431,1.030
770,ser żółty;ryż brązowy,0.171,banany;mleko,0.165,0.028,0.164,0.992
771,ser żółty;mleko,0.194,ryż brązowy;banany,0.149,0.028,0.144,0.969
772,ser żółty;banany,0.163,ryż brązowy;mleko,0.181,0.028,0.172,0.949
773,ryż brązowy;mleko,0.181,ser żółty;banany,0.163,0.028,0.155,0.949
774,ryż brązowy;banany,0.149,ser żółty;mleko,0.194,0.028,0.188,0.969
775,banany;mleko,0.165,ser żółty;ryż brązowy,0.171,0.028,0.170,0.992
776,ser żółty;ryż brązowy;mleko,0.076,banany,0.389,0.028,0.368,0.947
777,ser żółty;ryż brązowy;banany,0.061,mleko,0.434,0.028,0.459,1.058
778,ser żółty;mleko;banany,0.073,ryż brązowy,0.412,0.028,0.384,0.931
779,ryż brązowy;mleko;banany,0.063,ser żółty,0.418,0.028,0.444,1.063
780,jabłka;jajka,0.167,jogurt naturalny;mleko,0.184,0.030,0.180,0.976
781,jabłka;jogurt naturalny,0.177,jajka;mleko,0.171,0.030,0.169,0.991
782,jabłka;mleko,0.170,jajka;jogurt naturalny,0.180,0.030,0.176,0.980
783,jajka;jogurt naturalny,0.180,jabłka;mleko,0.170,0.030,0.167,0.980
784,jajka;mleko,0.171,jabłka;jogurt naturalny,0.177,0.030,0.175,0.991
785,jogurt naturalny;mleko,0.184,jabłka;jajka,0.167,0.030,0.163,0.976
786,jabłka;jajka;jogurt naturalny,0.071,mleko,0.434,0.030,0.423,0.974
787,jabłka;jajka;mleko,0.059,jogurt naturalny,0.434,0.030,0.508,1.172
788,jabłka;jogurt naturalny;mleko,0.079,jajka,0.432,0.030,0.380,0.879
789,jajka;jogurt naturalny;mleko,0.070,jabłka,0.407,0.030,0.429,1.053
790,jabłka;ser żółty,0.163,jajka;ogórki,0.155,0.023,0.141,0.910
791,ser żółty;jajka,0.176,jabłka;ogórki,0.150,0.023,0.131,0.871
792,ser żółty;ogórki,0.172,jabłka;jajka,0.167,0.023,0.134,0.801
793,jabłka;jajka,0.167,ser żółty;ogórki,0.172,0.023,0.138,0.801
794,jabłka;ogórki,0.150,ser żółty;jajka,0.176,0.023,0.153,0.871
795,jajka;ogórki,0.155,jabłka;ser żółty,0.163,0.023,0.148,0.910
796,jabłka;ser żółty;jajka,0.066,ogórki,0.396,0.023,0.348,0.880
797,jabłka;ser żółty;ogórki,0.067,jajka,0.432,0.023,0.343,0.795
798,ser żółty;jajka;ogórki,0.064,jabłka,0.407,0.023,0.359,0.883
799,jabłka;jajka;ogórki,0.051,ser żółty,0.418,0.023,0.451,1.079
800,ser żółty;ryż brązowy,0.171,jogurt naturalny;ogórki,0.162,0.030,0.175,1.083
801,ser żółty;ogórki,0.172,ryż brązowy;jogurt naturalny,0.172,0.030,0.174,1.014
802,ser żółty;jogurt naturalny,0.175,ryż brązowy;ogórki,0.169,0.030,0.171,1.014
803,ryż brązowy;ogórki,0.169,ser żółty;jogurt naturalny,0.175,0.030,0.178,1.014
804,ryż brązowy;jogurt naturalny,0.172,ser żółty;ogórki,0.172,0.030,0.174,1.014
805,jogurt naturalny;ogórki,0.162,ser żółty;ryż brązowy,0.171,0.030,0.185,1.083
806,ser żółty;ryż brązowy;ogórki,0.079,jogurt naturalny,0.434,0.030,0.380,0.875
807,ser żółty;ryż brązowy;jogurt naturalny,0.069,ogórki,0.396,0.030,0.435,1.098
808,ser żółty;jogurt naturalny;ogórki,0.063,ryż brązowy,0.412,0.030,0.476,1.156
809,ryż brązowy;jogurt naturalny;ogórki,0.066,ser żółty,0.418,0.030,0.455,1.087
810,ser żółty;chleb pełnoziarnisty,0.160,ogórki;banany,0.156,0.027,0.169,1.082
811,ser żółty;ogórki,0.172,chleb pełnoziarnisty;banany,0.158,0.027,0.157,0.994
812,ser żółty;banany,0.163,chleb pełnoziarnisty;ogórki,0.163,0.027,0.166,1.016
813,chleb pełnoziarnisty;ogórki,0.163,ser żółty;banany,0.163,0.027,0.166,1.016
814,chleb pełnoziarnisty;banany,0.158,ser żółty;ogórki,0.172,0.027,0.171,0.994
815,ogórki;banany,0.156,ser żółty;chleb pełnoziarnisty,0.160,0.027,0.173,1.082
816,ser żółty;chleb pełnoziarnisty;ogórki,0.069,banany,0.389,0.027,0.391,1.006
817,ser żółty;chleb pełnoziarnisty;banany,0.061,ogórki,0.396,0.027,0.443,1.118
818,ser żółty;ogórki;banany,0.071,chleb pełnoziarnisty,0.414,0.027,0.380,0.919
819,chleb pełnoziarnisty;ogórki;banany,0.059,ser żółty,0.418,0.027,0.458,1.095
820,ser żółty;jajka,0.176,ogórki;mleko,0.162,0.025,0.142,0.877
821,ser żółty;ogórki,0.172,jajka;mleko,0.171,0.025,0.145,0.850
822,ser żółty;mleko,0.194,jajka;ogórki,0.155,0.025,0.129,0.831
823,jajka;ogórki,0.155,ser żółty;mleko,0.194,0.025,0.161,0.831
824,jajka;mleko,0.171,ser żółty;ogórki,0.172,0.025,0.146,0.850
825,ogórki;mleko,0.162,ser żółty;jajka,0.176,0.025,0.154,0.877
826,ser żółty;jajka;ogórki,0.064,mleko,0.434,0.025,0.391,0.900
827,ser żółty;jajka;mleko,0.070,ogórki,0.396,0.025,0.357,0.902
828,ser żółty;ogórki;mleko,0.076,jajka,0.432,0.025,0.329,0.761
829,jajka;ogórki;mleko,0.054,ser żółty,0.418,0.025,0.463,1.108
830,chleb pełnoziarnisty;ogórki,0.163,banany;mleko,0.165,0.025,0.153,0.930
831,chleb pełnoziarnisty;mleko,0.177,ogórki;banany,0.156,0.025,0.141,0.905
832,chleb pełnoziarnisty;banany,0.158,ogórki;mleko,0.162,0.025,0.158,0.977
833,ogórki;mleko,0.162,chleb pełnoziarnisty;banany,0.158,0.025,0.154,0.977
834,ogórki;banany,0.156,chleb pełnoziarnisty;mleko,0.177,0.025,0.160,0.905
835,banany;mleko,0.165,chleb pełnoziarnisty;ogórki,0.163,0.025,0.152,0.930
836,chleb pełnoziarnisty;ogórki;mleko,0.064,banany,0.389,0.025,0.391,1.004
837,chleb pełnoziarnisty;ogórki;banany,0.059,mleko,0.434,0.025,0.424,0.976
838,chleb pełnoziarnisty;mleko;banany,0.070,ogórki,0.396,0.025,0.357,0.902
839,ogórki;mleko;banany,0.062,chleb pełnoziarnisty,0.414,0.025,0.403,0.974
840,ziemniaki;ser żółty,0.159,jajka;banany,0.157,0.027,0.170,1.082
841,ziemniaki;jajka,0.177,ser żółty;banany,0.163,0.027,0.153,0.936
842,ziemniaki;banany,0.146,ser żółty;jajka,0.176,0.027,0.185,1.051
843,ser żółty;jajka,0.176,ziemniaki;banany,0.146,0.027,0.153,1.051
844,ser żółty;banany,0.163,ziemniaki;jajka,0.177,0.027,0.166,0.936
845,jajka;banany,0.157,ziemniaki;ser żółty,0.159,0.027,0.172,1.082
846,ziemniaki;ser żółty;jajka,0.064,banany,0.389,0.027,0.422,1.085
847,ziemniaki;ser żółty;banany,0.065,jajka,0.432,0.027,0.415,0.962
848,ziemniaki;jajka;banany,0.062,ser żółty,0.418,0.027,0.435,1.042
849,ser żółty;jajka;banany,0.068,ziemniaki,0.401,0.027,0.397,0.990
850,ziemniaki;ser żółty,0.159,ryż brązowy;mleko,0.181,0.027,0.170,0.938
851,ziemniaki;ryż brązowy,0.156,ser żółty;mleko,0.194,0.027,0.173,0.892
852,ziemniaki;mleko,0.178,ser żółty;ryż brązowy,0.171,0.027,0.152,0.887
853,ser żółty;ryż brązowy,0.171,ziemniaki;mleko,0.178,0.027,0.158,0.887
854,ser żółty;mleko,0.194,ziemniaki;ryż brązowy,0.156,0.027,0.139,0.892
855,ryż brązowy;mleko,0.181,ziemniaki;ser żółty,0.159,0.027,0.149,0.938
856,ziemniaki;ser żółty;ryż brązowy,0.062,mleko,0.434,0.027,0.435,1.003
857,ziemniaki;ser żółty;mleko,0.081,ryż brązowy,0.412,0.027,0.333,0.809
858,ziemniaki;ryż brązowy;mleko,0.063,ser żółty,0.418,0.027,0.429,1.025
859,ser żółty;ryż brązowy;mleko,0.076,ziemniaki,0.401,0.027,0.355,0.886
860,ziemniaki;jabłka,0.160,chleb pełnoziarnisty;jogurt naturalny,0.169,0.034,0.213,1.257
861,ziemniaki;chleb pełnoziarnisty,0.164,jabłka;jogurt naturalny,0.177,0.034,0.207,1.171
862,ziemniaki;jogurt naturalny,0.165,jabłka;chleb pełnoziarnisty,0.162,0.034,0.206,1.272
863,jabłka;chleb pełnoziarnisty,0.162,ziemniaki;jogurt naturalny,0.165,0.034,0.210,1.272
864,jabłka;jogurt naturalny,0.177,ziemniaki;chleb pełnoziarnisty,0.164,0.034,0.192,1.171
865,chleb pełnoziarnisty;jogurt naturalny,0.169,ziemniaki;jabłka,0.160,0.034,0.201,1.257
866,ziemniaki;jabłka;chleb pełnoziarnisty,0.067,jogurt naturalny,0.434,0.034,0.507,1.169
867,ziemniaki;jabłka;jogurt naturalny,0.070,chleb pełnoziarnisty,0.414,0.034,0.486,1.173
868,ziemniaki;chleb pełnoziarnisty;jogurt naturalny,0.066,jabłka,0.407,0.034,0.515,1.266
869,jabłka;chleb pełnoziarnisty;jogurt naturalny,0.074,ziemniaki,0.401,0.034,0.459,1.146
870,ziemniaki;jajka,0.177,chleb pełnoziarnisty;banany,0.158,0.027,0.153,0.965
871,ziemniaki;chleb pełnoziarnisty,0.164,jajka;banany,0.157,0.027,0.165,1.049
872,ziemniaki;banany,0.146,jajka;chleb pełnoziarnisty,0.180,0.027,0.185,1.027
873,jajka;chleb pełnoziarnisty,0.180,ziemniaki;banany,0.146,0.027,0.150,1.027
874,jajka;banany,0.157,ziemniaki;chleb pełnoziarnisty,0.164,0.027,0.172,1.049
875,chleb pełnoziarnisty;banany,0.158,ziemniaki;jajka,0.177,0.027,0.171,0.965
876,ziemniaki;jajka;chleb pełnoziarnisty,0.074,banany,0.389,0.027,0.365,0.938
877,ziemniaki;jajka;banany,0.062,chleb pełnoziarnisty,0.414,0.027,0.435,1.052
878,ziemniaki;chleb pełnoziarnisty;banany,0.059,jajka,0.432,0.027,0.458,1.059
879,jajka;chleb pełnoziarnisty;banany,0.067,ziemniaki,0.401,0.027,0.403,1.005
880,jajka;ryż brązowy,0.171,banany;mleko,0.165,0.028,0.164,0.992
881,jajka;mleko,0.171,ryż brązowy;banany,0.149,0.028,0.164,1.099
882,jajka;banany,0.157,ryż brązowy;mleko,0.181,0.028,0.178,0.985
883,ryż brązowy;mleko,0.181,jajka;banany,0.157,0.028,0.155,0.985
884,ryż brązowy;banany,0.149,jajka;mleko,0.171,0.028,0.188,1.099
885,banany;mleko,0.165,jajka;ryż brązowy,0.171,0.028,0.170,0.992
886,jajka;ryż brązowy;mleko,0.072,banany,0.389,0.028,0.389,1.000
887,jajka;ryż brązowy;banany,0.066,mleko,0.434,0.028,0.424,0.978
888,jajka;mleko;banany,0.058,ryż brązowy,0.412,0.028,0.483,1.172
889,ryż brązowy;mleko;banany,0.063,jajka,0.432,0.028,0.444,1.029
890,ziemniaki;ser żółty,0.159,ogórki;banany,0.156,0.030,0.189,1.209
891,ziemniaki;ogórki,0.153,ser żółty;banany,0.163,0.030,0.196,1.203
892,ziemniaki;banany,0.146,ser żółty;ogórki,0.172,0.030,0.205,1.195
893,ser żółty;ogórki,0.172,ziemniaki;banany,0.146,0.030,0.174,1.195
894,ser żółty;banany,0.163,ziemniaki;ogórki,0.153,0.030,0.184,1.203
895,ogórki;banany,0.156,ziemniaki;ser żółty,0.159,0.030,0.192,1.209
896,ziemniaki;ser żółty;ogórki,0.067,banany,0.389,0.030,0.448,1.151
897,ziemniaki;ser żółty;banany,0.065,ogórki,0.396,0.030,0.462,1.166
898,ziemniaki;ogórki;banany,0.062,ser żółty,0.418,0.030,0.484,1.158
899,ser żółty;ogórki;banany,0.071,ziemniaki,0.401,0.030,0.423,1.054
900,ser żółty;jajka,0.176,jogurt naturalny;ogórki,0.162,0.021,0.119,0.737
901,ser żółty;ogórki,0.172,jajka;jogurt naturalny,0.180,0.021,0.122,0.678
902,ser żółty;jogurt naturalny,0.175,jajka;ogórki,0.155,0.021,0.120,0.774
903,jajka;ogórki,0.155,ser żółty;jogurt naturalny,0.175,0.021,0.135,0.774
904,jajka;jogurt naturalny,0.180,ser żółty;ogórki,0.172,0.021,0.117,0.678
905,jogurt naturalny;ogórki,0.162,ser żółty;jajka,0.176,0.021,0.130,0.737
906,ser żółty;jajka;ogórki,0.064,jogurt naturalny,0.434,0.021,0.328,0.756
907,ser żółty;jajka;jogurt naturalny,0.077,ogórki,0.396,0.021,0.273,0.689
908,ser żółty;jogurt naturalny;ogórki,0.063,jajka,0.432,0.021,0.333,0.772
909,jajka;jogurt naturalny;ogórki,0.055,ser żółty,0.418,0.021,0.382,0.913
910,ser żółty;ryż brązowy,0.171,chleb pełnoziarnisty;ogórki,0.163,0.035,0.205,1.256
911,ser żółty;chleb pełnoziarnisty,0.160,ryż brązowy;ogórki,0.169,0.035,0.219,1.294
912,ser żółty;ogórki,0.172,ryż brązowy;chleb pełnoziarnisty,0.176,0.035,0.203,1.156
913,ryż brązowy;chleb pełnoziarnisty,0.176,ser żółty;ogórki,0.172,0.035,0.199,1.156
914,ryż brązowy;ogórki,0.169,ser żółty;chleb pełnoziarnisty,0.160,0.035,0.207,1.294
915,chleb pełnoziarnisty;ogórki,0.163,ser żółty;ryż brązowy,0.171,0.035,0.215,1.256
916,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,ogórki,0.396,0.035,0.493,1.245
917,ser żółty;ryż brązowy;ogórki,0.079,chleb pełnoziarnisty,0.414,0.035,0.443,1.070
918,ser żółty;chleb pełnoziarnisty;ogórki,0.069,ryż brązowy,0.412,0.035,0.507,1.231
919,ryż brązowy;chleb pełnoziarnisty;ogórki,0.073,ser żółty,0.418,0.035,0.479,1.147
920,jajka;ogórki,0.155,jogurt naturalny;banany,0.156,0.023,0.148,0.951
921,jajka;jogurt naturalny,0.180,ogórki;banany,0.156,0.023,0.128,0.819
922,jajka;banany,0.157,jogurt naturalny;ogórki,0.162,0.023,0.146,0.904
923,jogurt naturalny;ogórki,0.162,jajka;banany,0.157,0.023,0.142,0.904
924,ogórki;banany,0.156,jajka;jogurt naturalny,0.180,0.023,0.147,0.819
925,jogurt naturalny;banany,0.156,jajka;ogórki,0.155,0.023,0.147,0.951
926,jajka;jogurt naturalny;ogórki,0.055,banany,0.389,0.023,0.418,1.075
927,jajka;ogórki;banany,0.064,jogurt naturalny,0.434,0.023,0.359,0.828
928,jajka;jogurt naturalny;banany,0.057,ogórki,0.396,0.023,0.404,1.019
929,jogurt naturalny;ogórki;banany,0.062,jajka,0.432,0.023,0.371,0.859
930,jogurt naturalny;ogórki,0.162,banany;mleko,0.165,0.021,0.130,0.786
931,ogórki;mleko,0.162,jogurt naturalny;banany,0.156,0.021,0.130,0.831
932,ogórki;banany,0.156,jogurt naturalny;mleko,0.184,0.021,0.135,0.732
933,jogurt naturalny;mleko,0.184,ogórki;banany,0.156,0.021,0.114,0.732
934,jogurt naturalny;banany,0.156,ogórki;mleko,0.162,0.021,0.135,0.831
935,banany;mleko,0.165,jogurt naturalny;ogórki,0.162,0.021,0.127,0.786
936,jogurt naturalny;ogórki;mleko,0.063,banany,0.389,0.021,0.333,0.857
937,jogurt naturalny;ogórki;banany,0.062,mleko,0.434,0.021,0.339,0.780
938,ogórki;mleko;banany,0.062,jogurt naturalny,0.434,0.021,0.339,0.780
939,jogurt naturalny;mleko;banany,0.063,ogórki,0.396,0.021,0.333,0.842
940,jajka;ogórki,0.155,banany;mleko,0.165,0.022,0.142,0.860
941,jajka;mleko,0.171,ogórki;banany,0.156,0.022,0.129,0.825
942,jajka;banany,0.157,ogórki;mleko,0.162,0.022,0.140,0.865
943,ogórki;mleko,0.162,jajka;banany,0.157,0.022,0.136,0.865
944,ogórki;banany,0.156,jajka;mleko,0.171,0.022,0.141,0.825
945,banany;mleko,0.165,jajka;ogórki,0.155,0.022,0.133,0.860
946,jajka;ogórki;mleko,0.054,banany,0.389,0.022,0.407,1.047
947,jajka;ogórki;banany,0.064,mleko,0.434,0.022,0.344,0.792
