id,support,pattern
490,0.063,jabłka;chleb pełnoziarnisty;banany
491,0.070,ser żółty;jajka;mleko
492,0.035,jajka;chleb pełnoziarnisty;kurczak
493,0.024,oliwa z oliwek;ser żółty;jajka
494,0.057,jabłka;ogórki;mleko
495,0.025,jogurt naturalny;banany;kurczak
496,0.021,oliwa z oliwek;mleko;banany
497,0.078,jabłka;ser żółty;mleko
498,0.067,jabłka;ser żółty;ogórki
499,0.025,chleb pełnoziarnisty;jogurt naturalny;makaron pełnoziarnisty
500,0.062,ogórki;mleko;banany
501,0.032,chleb pełnoziarnisty;ogórki;kurczak
502,0.026,ziemniaki;pomidory;chleb pełnoziarnisty
503,0.065,jabłka;mleko;banany
504,0.024,jajka;mleko;kurczak
505,0.040,kurczak;makaron pełnoziarnisty
506,0.184,jogurt naturalny;mleko
507,0.071,ziemniaki;oliwa z oliwek
508,0.167,jabłka;jajka
509,0.172,ser żółty;ogórki
510,0.156,ziemniaki;ryż brązowy
511,0.047,oliwa z oliwek;kurczak
512,0.036,oliwa z oliwek;makaron pełnoziarnisty
513,0.164,ziemniaki;chleb pełnoziarnisty
514,0.180,jajka;jogurt naturalny
515,0.080,ziemniaki;płatki owsiane
516,0.162,jabłka;chleb pełnoziarnisty
517,0.160,jabłka;banany
518,0.067,ryż brązowy;makaron pełnoziarnisty
519,0.066,oliwa z oliwek;jabłka
520,0.060,ryż brązowy;kurczak
521,0.172,ryż brązowy;jogurt naturalny
522,0.066,pomidory;banany
523,0.071,oliwa z oliwek;jajka
524,0.066,banany;kurczak
525,0.057,banany;makaron pełnoziarnisty
526,0.163,ser żółty;banany
527,0.076,pomidory;chleb pełnoziarnisty
528,0.079,płatki owsiane;jogurt naturalny
529,0.177,ziemniaki;jajka
530,0.075,ziemniaki;pomidory
531,0.068,pomidory;ogórki
532,0.176,ser żółty;jajka
533,0.042,pomidory;makaron pełnoziarnisty
534,0.073,płatki owsiane;chleb pełnoziarnisty
535,0.171,jajka;mleko
536,0.160,ziemniaki;jabłka
537,0.155,jajka;ogórki
538,0.169,ryż brązowy;ogórki
539,0.078,ser żółty;płatki owsiane
540,0.071,mleko;makaron pełnoziarnisty
541,0.171,ser żółty;ryż brązowy
542,0.175,jabłka;ryż brązowy
543,0.175,ser żółty;jogurt naturalny
544,0.177,jabłka;jogurt naturalny
545,0.178,ziemniaki;mleko
546,0.065,ser żółty;kurczak
547,0.177,chleb pełnoziarnisty;mleko
548,0.063,oliwa z oliwek;ogórki
549,0.066,jabłka;kurczak
550,0.156,ogórki;banany
551,0.165,banany;mleko
552,0.082,jabłka;płatki owsiane
553,0.067,płatki owsiane;banany
554,0.163,jabłka;ser żółty
555,0.075,oliwa z oliwek;mleko
556,0.076,chleb pełnoziarnisty;kurczak
557,0.070,chleb pełnoziarnisty;makaron pełnoziarnisty
558,0.074,pomidory;jogurt naturalny
559,0.163,chleb pełnoziarnisty;ogórki
560,0.076,jogurt naturalny;kurczak
561,0.057,jogurt naturalny;makaron pełnoziarnisty
562,0.162,jogurt naturalny;ogórki
563,0.080,płatki owsiane;jajka
564,0.181,ryż brązowy;mleko
565,0.153,ziemniaki;ogórki
566,0.157,jajka;banany
567,0.080,jajka;kurczak
568,0.067,jajka;makaron pełnoziarnisty
569,0.160,ser żółty;chleb pełnoziarnisty
570,0.070,oliwa z oliwek;ryż brązowy
571,0.156,jogurt naturalny;banany
572,0.062,ziemniaki;makaron pełnoziarnisty
573,0.065,ziemniaki;kurczak
574,0.165,ziemniaki;jogurt naturalny
575,0.065,pomidory;ser żółty
576,0.065,ogórki;kurczak
577,0.070,ogórki;makaron pełnoziarnisty
578,0.194,ser żółty;mleko
579,0.170,jabłka;mleko
580,0.046,płatki owsiane;makaron pełnoziarnisty
581,0.046,płatki owsiane;kurczak
582,0.075,oliwa z oliwek;ser żółty
583,0.169,chleb pełnoziarnisty;jogurt naturalny
584,0.045,pomidory;płatki owsiane
585,0.070,płatki owsiane;ryż brązowy
586,0.057,pomidory;jabłka
587,0.162,ogórki;mleko
588,0.159,ziemniaki;ser żółty
589,0.171,jajka;ryż brązowy
590,0.149,ryż brązowy;banany
591,0.049,pomidory;kurczak
592,0.150,jabłka;ogórki
593,0.082,pomidory;mleko
594,0.068,mleko;kurczak
595,0.085,oliwa z oliwek;jogurt naturalny
596,0.069,oliwa z oliwek;banany
597,0.070,pomidory;jajka
598,0.079,płatki owsiane;mleko
599,0.074,płatki owsiane;ogórki
600,0.075,oliwa z oliwek;chleb pełnoziarnisty
601,0.042,pomidory;oliwa z oliwek
602,0.045,oliwa z oliwek;płatki owsiane
603,0.146,ziemniaki;banany
604,0.063,ser żółty;makaron pełnoziarnisty
605,0.180,jajka;chleb pełnoziarnisty
606,0.063,pomidory;ryż brązowy
607,0.066,jabłka;makaron pełnoziarnisty
608,0.158,chleb pełnoziarnisty;banany
609,0.176,ryż brązowy;chleb pełnoziarnisty
610,0.401,ziemniaki
611,0.196,pomidory
612,0.196,oliwa z oliwek
613,0.407,jabłka
614,0.210,płatki owsiane
615,0.412,ryż brązowy
616,0.432,jajka
617,0.414,chleb pełnoziarnisty
618,0.183,makaron pełnoziarnisty
619,0.434,jogurt naturalny
620,0.396,ogórki
621,0.389,banany
622,0.418,ser żółty
623,0.434,mleko
624,0.192,kurczak
